dR dT
0.00881861 0.0619013
0.0163723 0.00656587
0.0443048 0.133283
0.0239877 0.0387698
0.00703468 0.0387187
0.00535438 0.0405661
0.0149185 0.122439
0.0246924 0.0419944
0.0596334 0.34535
0.00170484 0.0296978
0.00379954 0.0465613
0.0252972 0.11999
0.0155963 0.0356227
0.0140204 0.0336253
0.0182678 0.0420471
0.0143364 0.0304414
0.0321758 0.239752
0.0166302 0.0365254
0.0158562 0.0471457
0.00653037 0.0287441
0.00519806 0.0385912
0.0218713 0.0378192
0.00910203 0.040483
0.0185736 0.0313586
0.00995614 0.0477111
0.00221134 0.0330031
0.0316217 0.0748303
0.00261403 0.00792893
0.0061629 0.0687311
0.00380184 0.0267884
0.0132157 0.0484669
0.0353112 0.0301336
0.0267583 0.0453232
0.00793529 0.036738
0.00963248 0.0296984
0.00473304 0.0244557
0.0243005 0.184627
0.0126268 0.0367224
0.0138354 0.0391599
0.0101846 0.0274233
0.0541286 0.312107
0.0496396 0.0976287
0.016378 0.144569
0.00135471 0.0422901
0.0155142 0.0283461
0.00663387 0.0498948
0.0136025 0.0765625
0.0202646 0.138498
0.0105596 0.0367582
0.00546209 0.0420204
0.0119836 0.0369798
0.0347459 0.0864807
0.0217972 0.0392734
0.0144606 0.0960559
0.0290503 0.0325794
0.00383737 0.0440775
0.02225 0.0300722
0.00624368 0.0465864
0.0221828 0.0483753
0.00379414 0.0190577
0.00626116 0.0406233
0.00688514 0.045423
0.0162124 0.0360585
0.0192735 0.0496413
0.00909492 0.0159393
0.0115885 0.07853
0.00580567 0.0271072
0.00544232 0.0366019
0.00507017 0.0455853
0.0243694 0.0465763
0.00718666 0.0932183
0.0153935 0.0956393
0.00684855 0.0337791
0.011243 0.121716
0.00370117 0.0451905
0.00735825 0.113214
0.0074177 0.0344161
0.0114166 0.0460928
0.0190879 0.0454951
0.0356229 0.0321458
0.007375 0.0404807
0.0159513 0.0260113
0.0156508 0.0356156
0.012444 0.135309
0.0146285 0.184674
0.0145055 0.0578188
0.00941691 0.058785
0.0192661 0.118635
0.00489527 0.0404502
0.00701735 0.0440826
0.00893458 0.0425014
0.0185031 0.0437355
0.00962323 0.0255133
0.00513043 0.0442706
0.0199055 0.0401165
0.0018202 0.0343028
0.00945961 0.0629407
0.0184256 0.133844
0.0307953 0.0417724
0.0289557 0.0234789
0.00208012 0.035929
0.0263885 0.0178843
0.00412551 0.0319383
0.00399856 0.0172252
0.00740128 0.030123
0.00337795 0.0315494
0.0257638 0.134554
0.0219943 0.0452997
0.00664234 0.0159201
0.0120651 0.0465068
0.00588215 0.0214689
0.00455912 0.0442222
0.035505 0.048282
0.0411628 0.120207
0.0164317 0.021306
0.000894774 0.00431889
0.0102245 0.0422532
0.00608339 0.0344481
0.00294253 0.0482293
0.0144004 0.111184
0.0209048 0.0448993
0.00546935 0.0376366
0.0321889 0.0495498
0.00982042 0.0732049
0.00305416 0.0491464
0.00950559 0.038258
0.0108913 0.00782517
0.0115365 0.00722052
0.014209 0.0498741
0.0241014 0.0468002
0.0176083 0.151655
0.00597341 0.0165239
0.0300538 0.0481223
0.0371872 0.042803
0.00727615 0.0481907
0.00266641 0.0220221
0.0212029 0.0481163
0.0139634 0.038882
0.00617077 0.0368844
0.00780383 0.0366844
0.0295864 0.0671971
0.00242224 0.0408435
0.0119339 0.0477359
0.0076107 0.0373381
0.0102594 0.0990295
0.0019163 0.035886
0.0209835 0.0442143
0.0418371 0.134434
0.00790442 0.0814232
0.00817776 0.044765
0.00818903 0.0194619
0.00963304 0.0355137
0.00992525 0.0292119
0.0212727 0.0397126
0.0573796 0.283077
0.00609322 0.0456505
0.0160162 0.0981296
0.00609558 0.0311022
0.00502523 0.0405849
0.0132001 0.0241938
0.00684831 0.0400305
0.0189403 0.033393
0.0100246 0.0603823
0.0161198 0.0568058
0.0176154 0.103325
0.0098485 0.0498672
0.0275819 0.158323
0.0109903 0.0412683
0.0103359 0.0410277
0.00468293 0.0452016
0.00808632 0.0250707
0.00769521 0.0882186
0.00529749 0.00640448
0.0323743 0.0915336
0.00544131 0.0432435
0.0111535 0.0475909
0.00400082 0.03292
0.00782363 0.042786
0.00562406 0.0416307
0.0273189 0.0359905
0.0134025 0.0403793
0.00338934 0.045155
0.00537571 0.0320057
0.00486 0.0330272
0.0028423 0.0339349
0.0449031 0.0259896
0.00944071 0.00312723
0.0359258 0.190754
0.014367 0.0945984
0.0144837 0.113989
0.00709732 0.0479467
0.00494185 0.0342868
0.0179051 0.0270451
0.0306577 0.0323351
0.0341871 0.0651698
0.00864045 0.0676232
0.00967113 0.0312475
0.0148291 0.16579
0.00487122 0.036019
0.0060763 0.00857355
0.00548176 0.0969112
0.00943553 0.0261816
0.00891167 0.0329162
0.0133745 0.0340079
0.00576551 0.0179891
0.00299899 0.0385745
0.015506 0.0233644
0.00856169 0.0325577
0.00678294 0.0598614
0.00808162 0.0482136
0.0172325 0.0495152
0.0204224 0.138286
0.00612258 0.0432381
0.00750055 0.0204568
0.0300538 0.0383113
0.0166173 0.0941414
0.0114976 0.0667744
0.0082979 0.0463866
0.00643329 0.0688027
0.0149228 0.0441857
0.0278694 0.140763
0.0158768 0.133175
0.0286 0.0390001
0.0196971 0.151492
0.00672626 0.0295395
0.00368296 0.0197124
0.00817821 0.0562501
0.00926663 0.0193661
0.0242365 0.105108
0.00223743 0.0238433
0.00948006 0.0787832
0.00745377 0.0299367
0.0116504 0.0363127
0.0445585 0.146869
0.00683109 0.011373
0.00761186 0.0430811
0.00868964 0.0396764
0.00473046 0.0174688
0.0499363 0.0398384
0.0155235 0.0337
0.0240233 0.265354
0.0124982 0.115401
0.0110004 0.0896574
0.0445493 0.0455735
0.0155216 0.0358059
0.00999938 0.0137236
0.0166928 0.113546
0.064841 0.529385
0.0536581 0.439151
0.00396907 0.0276412
0.00407772 0.0348778
0.0137511 0.151424
0.00408235 0.0478109
0.0272111 0.334907
0.0362034 0.190042
0.00531713 0.0574348
0.0128723 0.113761
0.0120993 0.030885
0.00628732 0.0352803
0.00785008 0.0463958
0.00319151 0.0250536
0.000630419 0.0328098
0.00152231 0.0430724
0.00627358 0.0369891
0.00423155 0.0242582
0.00917045 0.0491395
0.0167966 0.0360355
0.017131 0.0582307
0.00350242 0.0349147
0.00388734 0.044527
0.0131256 0.0303589
